Entry_Date,Exit_Date,Type,Entry_Price,Exit_Price,PnL,Reason
2024-07-26,2024-08-05,LONG,24834.849609375,24055.599609375,-627.5455758796606,Stop Loss
2024-11-12,2024-11-27,SHORT,23883.44921875,24274.900390625,-325.74410320832914,Stop Loss
2025-05-12,2025-06-03,LONG,24924.69921875,24542.5,-303.7595356491418,Stop Loss
2026-01-08,2026-01-23,SHORT,25876.849609375,25048.650390625,632.0617535126572,Take Profit
2026-03-19,2026-04-08,SHORT,23002.150390625,23997.349609375,-859.9016453885006,Stop Loss
